,value,from,to,begin,end,slice
0,16.021138882314972,taz_0,taz_1,0.0,900.0,0
1,2.0634998045543185,taz_0,taz_2,0.0,900.0,0
2,16.149310555736815,taz_0,taz_3,0.0,900.0,0
3,5.523008947754935,taz_0,taz_4,0.0,900.0,0
4,14.482312739592095,taz_0,taz_5,0.0,900.0,0
5,10.404736063859813,taz_0,taz_6,0.0,900.0,0
6,19.74326529233587,taz_0,taz_7,0.0,900.0,0
7,15.196537895218292,taz_0,taz_8,0.0,900.0,0
8,2.32284368307083,taz_0,taz_9,0.0,900.0,0
9,8.870480080278378,taz_0,taz_10,0.0,900.0,0
10,7.680994329441414,taz_0,taz_11,0.0,900.0,0
11,5.2955091831134204,taz_1,taz_0,0.0,900.0,0
12,8.394695943247557,taz_1,taz_2,0.0,900.0,0
13,4.932237987447519,taz_1,taz_3,0.0,900.0,0
14,14.094936334023233,taz_1,taz_4,0.0,900.0,0
15,10.648505383094763,taz_1,taz_5,0.0,900.0,0
16,2.833238867845023,taz_1,taz_6,0.0,900.0,0
17,5.889974338070663,taz_1,taz_7,0.0,900.0,0
18,13.148433084228733,taz_1,taz_8,0.0,900.0,0
19,10.831819142908591,taz_1,taz_9,0.0,900.0,0
20,9.502218544444615,taz_1,taz_10,0.0,900.0,0
21,5.797875167226759,taz_1,taz_11,0.0,900.0,0
22,3.3465320265046197,taz_2,taz_0,0.0,900.0,0
23,14.150133494087251,taz_2,taz_1,0.0,900.0,0
24,5.629895545319683,taz_2,taz_3,0.0,900.0,0
25,3.7382295804359167,taz_2,taz_4,0.0,900.0,0
26,5.251020906294278,taz_2,taz_5,0.0,900.0,0
27,17.712682222017754,taz_2,taz_6,0.0,900.0,0
28,1.925078617127409,taz_2,taz_7,0.0,900.0,0
29,7.782974668402017,taz_2,taz_8,0.0,900.0,0
30,7.135811886222149,taz_2,taz_9,0.0,900.0,0
31,8.319257038825635,taz_2,taz_10,0.0,900.0,0
32,15.896346802217463,taz_2,taz_11,0.0,900.0,0
33,8.741700539149015,taz_3,taz_0,0.0,900.0,0
34,15.622168541128106,taz_3,taz_1,0.0,900.0,0
35,3.074825481897886,taz_3,taz_2,0.0,900.0,0
36,9.629407837177924,taz_3,taz_4,0.0,900.0,0
37,17.956485524392036,taz_3,taz_5,0.0,900.0,0
38,13.962526670526994,taz_3,taz_6,0.0,900.0,0
39,18.67283768829446,taz_3,taz_7,0.0,900.0,0
40,13.971405507195716,taz_3,taz_8,0.0,900.0,0
41,3.419606571572162,taz_3,taz_9,0.0,900.0,0
42,3.484719957767464,taz_3,taz_10,0.0,900.0,0
43,2.619640536938886,taz_3,taz_11,0.0,900.0,0
44,8.017145714485906,taz_4,taz_0,0.0,900.0,0
45,3.7474949998102525,taz_4,taz_1,0.0,900.0,0
46,10.226552411308523,taz_4,taz_2,0.0,900.0,0
47,6.462408655861498,taz_4,taz_3,0.0,900.0,0
48,9.700972811131532,taz_4,taz_5,0.0,900.0,0
49,17.06521742936764,taz_4,taz_6,0.0,900.0,0
50,8.47376156028923,taz_4,taz_7,0.0,900.0,0
51,1.7150130002690398,taz_4,taz_8,0.0,900.0,0
52,17.426279794575414,taz_4,taz_9,0.0,900.0,0
53,12.876737486982544,taz_4,taz_10,0.0,900.0,0
