,value,from,to,begin,end,slice
0,5.14764164659816,taz_0,taz_1,0.0,900.0,0
1,26.674143077826827,taz_0,taz_2,0.0,900.0,0
2,24.80227338815477,taz_0,taz_3,0.0,900.0,0
3,20.122599163974623,taz_0,taz_4,0.0,900.0,0
4,0.46796742241801453,taz_0,taz_5,0.0,900.0,0
5,16.37885978463051,taz_0,taz_6,0.0,900.0,0
6,12.635120405286392,taz_0,taz_7,0.0,900.0,0
7,1.4039022672540435,taz_0,taz_8,0.0,900.0,0
8,10.763250715614335,taz_0,taz_9,0.0,900.0,0
9,27.610077922662857,taz_0,taz_10,0.0,900.0,0
10,22.930403698482714,taz_0,taz_11,0.0,900.0,0
11,24.80227338815477,taz_1,taz_0,0.0,900.0,0
12,24.80227338815477,taz_1,taz_2,0.0,900.0,0
13,18.250729474302567,taz_1,taz_3,0.0,900.0,0
14,25.7382082329908,taz_1,taz_4,0.0,900.0,0
15,7.019511336270218,taz_1,taz_5,0.0,900.0,0
16,1.4039022672540435,taz_1,taz_6,0.0,900.0,0
17,5.14764164659816,taz_1,taz_7,0.0,900.0,0
18,23.86633854331874,taz_1,taz_8,0.0,900.0,0
19,11.699185560450363,taz_1,taz_9,0.0,900.0,0
20,21.058534008810653,taz_1,taz_10,0.0,900.0,0
21,24.80227338815477,taz_1,taz_11,0.0,900.0,0
22,23.86633854331874,taz_2,taz_0,0.0,900.0,0
23,26.674143077826827,taz_2,taz_1,0.0,900.0,0
24,1.4039022672540435,taz_2,taz_3,0.0,900.0,0
25,18.250729474302567,taz_2,taz_4,0.0,900.0,0
26,16.37885978463051,taz_2,taz_5,0.0,900.0,0
27,19.186664319138597,taz_2,taz_6,0.0,900.0,0
28,22.930403698482714,taz_2,taz_7,0.0,900.0,0
29,25.7382082329908,taz_2,taz_8,0.0,900.0,0
30,3.2757719569261017,taz_2,taz_9,0.0,900.0,0
31,11.699185560450363,taz_2,taz_10,0.0,900.0,0
32,25.7382082329908,taz_2,taz_11,0.0,900.0,0
33,18.250729474302567,taz_3,taz_0,0.0,900.0,0
34,3.2757719569261017,taz_3,taz_1,0.0,900.0,0
35,14.50699009495845,taz_3,taz_2,0.0,900.0,0
36,19.186664319138597,taz_3,taz_4,0.0,900.0,0
37,27.610077922662857,taz_3,taz_5,0.0,900.0,0
38,21.058534008810653,taz_3,taz_6,0.0,900.0,0
39,9.827315870778305,taz_3,taz_7,0.0,900.0,0
40,9.827315870778305,taz_3,taz_8,0.0,900.0,0
41,11.699185560450363,taz_3,taz_9,0.0,900.0,0
42,9.827315870778305,taz_3,taz_10,0.0,900.0,0
43,17.314794629466537,taz_3,taz_11,0.0,900.0,0
44,12.635120405286392,taz_4,taz_0,0.0,900.0,0
45,12.635120405286392,taz_4,taz_1,0.0,900.0,0
46,7.019511336270218,taz_4,taz_2,0.0,900.0,0
47,0.46796742241801453,taz_4,taz_3,0.0,900.0,0
